               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,  metrics/banana_mAP,metrics/broccoli_mAP,metrics/egg carton_mAP,    metrics/eggs_mAP,    metrics/milk_mAP, metrics/yoghurt_mAP,metrics/banana_mAP_50,metrics/broccoli_mAP_50,metrics/egg carton_mAP_50, metrics/eggs_mAP_50, metrics/milk_mAP_50,metrics/yoghurt_mAP_50
                   0,              0.1052,            0.044861,            0.049958,           0.0064592,              0.5585,            0.026086,           0.0090098,            0.035479,            0.018102,            0.024178,              0.0766,              0.0026,              0.0026,            0.039205,          0.00078746,                   0,           0.0058913,           0.0072654,          0.00090968,             0.10898,           0.0031702,                   0,            0.019906,            0.021801,           0.0026628
                   1,            0.077924,            0.047082,            0.037161,             0.77523,             0.10508,            0.088445,             0.03086,            0.029373,            0.018758,            0.016335,            0.052248,           0.0052475,           0.0052475,             0.06656,           0.0095024,           0.0036046,              0.0313,            0.051584,            0.022609,             0.18524,            0.021094,           0.0092423,             0.14251,             0.10972,            0.062858
                   2,             0.06427,            0.041974,            0.032269,             0.22855,             0.29575,             0.26382,             0.10425,            0.032633,            0.013425,            0.014577,            0.027842,           0.0078416,           0.0078416,             0.10903,             0.14364,           0.0018671,            0.047853,              0.2268,            0.096301,             0.26732,             0.45937,           0.0057278,             0.21933,              0.3655,             0.26568
                   3,            0.062453,            0.041587,            0.027031,             0.55199,              0.3412,             0.30525,             0.13706,            0.031731,            0.013899,            0.013173,            0.009703,            0.009703,            0.009703,              0.1878,            0.042911,           0.0030828,             0.19786,             0.29233,             0.09835,             0.40882,             0.19468,           0.0041565,             0.41568,             0.54348,             0.26471
                   4,            0.059171,            0.042959,            0.019813,             0.50482,              0.4092,             0.35301,             0.17168,             0.02832,            0.013043,           0.0081329,            0.009703,            0.009703,            0.009703,             0.26104,             0.11546,           0.0027749,             0.12912,             0.42943,            0.092271,             0.51881,              0.3456,           0.0063024,             0.38539,             0.67633,             0.18562
                   5,            0.055477,            0.039614,            0.018697,             0.52405,             0.33213,             0.30811,              0.1528,            0.025673,            0.013274,           0.0085587,            0.009604,            0.009604,            0.009604,             0.18751,             0.24654,           0.0017827,             0.14899,             0.29386,            0.038124,             0.43215,             0.50303,           0.0037423,             0.27488,             0.52857,             0.10632
                   6,            0.051044,            0.037453,            0.016855,             0.53905,             0.48313,             0.43357,             0.17954,            0.021705,            0.011135,           0.0074724,            0.009505,            0.009505,            0.009505,              0.1874,             0.23906,            0.023027,             0.26455,             0.16037,             0.20285,             0.37237,             0.60782,            0.029776,             0.61892,             0.37113,             0.60142
                   7,            0.047673,            0.038413,            0.016636,             0.60711,             0.52089,             0.49367,             0.27694,            0.022451,            0.010897,           0.0056092,            0.009406,            0.009406,            0.009406,             0.32639,             0.23081,            0.018716,             0.37929,             0.40925,              0.2972,             0.65355,             0.53454,            0.022884,             0.54177,             0.67062,             0.53865
                   8,             0.04554,            0.040299,            0.013996,             0.58902,              0.4502,             0.45157,             0.21927,            0.020452,             0.01126,           0.0056158,            0.009307,            0.009307,            0.009307,             0.20752,              0.2717,            0.051444,             0.35971,             0.24221,             0.18301,              0.5715,             0.66634,            0.059453,             0.54984,             0.46967,             0.39265
                   9,            0.045051,            0.037747,            0.013871,             0.70428,             0.48483,             0.50428,             0.27018,            0.019736,            0.010616,           0.0048327,            0.009208,            0.009208,            0.009208,             0.34356,             0.30273,            0.020157,             0.42504,             0.33868,             0.19088,              0.6839,             0.55265,            0.034056,              0.8257,             0.52806,             0.40133
                  10,            0.040884,            0.036352,            0.014635,             0.55161,             0.48325,             0.41386,             0.19885,            0.021215,            0.011438,            0.007054,            0.009109,            0.009109,            0.009109,             0.35947,             0.16151,           0.0029919,             0.21951,             0.25434,             0.19531,             0.69974,             0.37594,           0.0094462,             0.43248,             0.53121,             0.43433
                  11,            0.040213,            0.034403,            0.013262,             0.62462,             0.48651,             0.52585,             0.29552,            0.019314,           0.0090302,           0.0046568,             0.00901,             0.00901,             0.00901,              0.3165,             0.48782,            0.018028,              0.5348,               0.159,             0.25701,             0.66166,             0.71875,            0.029277,             0.88391,             0.33074,             0.53074
                  12,            0.039375,            0.035273,            0.011848,             0.64247,             0.47775,             0.53369,              0.3363,             0.01941,           0.0085885,           0.0044148,            0.008911,            0.008911,            0.008911,             0.34511,             0.48283,            0.017583,             0.59464,             0.15441,              0.4232,              0.5809,             0.74762,            0.034095,             0.87311,             0.36986,             0.59656
                  13,             0.03807,            0.034566,            0.013854,             0.72797,             0.41722,              0.4906,             0.30534,            0.015552,            0.009637,           0.0067206,            0.008812,            0.008812,            0.008812,              0.2722,             0.49739,             0.01816,             0.55071,             0.18613,             0.30744,             0.42395,             0.70585,            0.024969,             0.75586,              0.5069,             0.52605
                  14,            0.038148,            0.032295,             0.01096,             0.71904,             0.50826,             0.56714,             0.32677,            0.017764,           0.0092231,            0.004953,            0.008713,            0.008713,            0.008713,             0.29557,             0.48134,            0.027218,             0.58342,             0.29709,             0.27597,             0.60915,             0.80833,            0.031981,             0.87249,             0.53196,             0.54895
                  15,            0.038177,            0.032904,            0.014248,             0.67311,             0.48235,             0.51691,             0.27027,            0.016283,             0.01063,           0.0057084,            0.008614,            0.008614,            0.008614,             0.26153,             0.39756,            0.014921,             0.43059,             0.24614,             0.27088,             0.52602,             0.82038,            0.036156,              0.7122,             0.53815,             0.46855
                  16,            0.037881,            0.031638,            0.010645,              0.6881,             0.52274,             0.58208,              0.3055,             0.01838,           0.0087704,           0.0046561,            0.008515,            0.008515,            0.008515,               0.302,             0.34284,            0.051023,             0.58468,             0.26822,             0.28422,             0.61545,             0.78511,             0.10045,             0.84188,             0.52452,             0.62505
                  17,            0.036036,            0.033857,           0.0098857,             0.69305,             0.51521,             0.62636,             0.33504,            0.018437,           0.0092188,           0.0039891,            0.008416,            0.008416,            0.008416,              0.3235,             0.39089,            0.044245,             0.61812,             0.27854,             0.35496,             0.62866,             0.87872,             0.14871,             0.87844,             0.50053,             0.72311
