               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,  metrics/banana_mAP,metrics/broccoli_mAP,metrics/egg carton_mAP,    metrics/eggs_mAP,    metrics/milk_mAP, metrics/yoghurt_mAP,metrics/banana_mAP_50,metrics/broccoli_mAP_50,metrics/egg carton_mAP_50, metrics/eggs_mAP_50, metrics/milk_mAP_50,metrics/yoghurt_mAP_50
                   0,             0.10333,            0.045289,            0.048538,           0.0072948,             0.51695,            0.019388,           0.0090111,            0.037097,            0.017478,            0.023727,              0.0766,              0.0026,              0.0026,            0.029148,           0.0018969,           0.0015562,           0.0079126,           0.0074668,           0.0060859,            0.051403,           0.0047008,           0.0015562,            0.023233,            0.021162,            0.014271
                   1,            0.073562,            0.047297,            0.035886,              0.2211,             0.38406,             0.13648,            0.067248,            0.030832,            0.022031,            0.016068,            0.052248,           0.0052475,           0.0052475,            0.065428,             0.16169,           0.0066052,            0.057194,            0.064858,            0.047717,             0.14966,             0.25957,            0.019017,             0.16785,             0.10134,             0.12142
                   2,            0.062666,             0.04115,            0.029825,             0.31249,             0.26818,             0.18241,            0.082641,            0.030365,            0.012433,            0.014753,            0.027842,           0.0078416,           0.0078416,             0.11049,             0.14452,                   0,            0.079887,             0.10882,            0.052128,             0.25723,              0.2881,                   0,             0.15469,             0.27246,             0.12201
                   3,            0.063974,             0.03881,            0.024232,             0.38347,             0.33942,             0.27778,             0.15522,            0.033662,            0.011924,             0.01124,            0.009703,            0.009703,            0.009703,             0.15141,             0.31567,             0.00608,             0.20011,            0.079408,             0.17863,             0.34856,             0.51589,            0.011342,             0.35315,             0.22012,             0.21759
                   4,            0.057406,            0.039166,            0.019691,             0.48761,             0.35252,             0.31521,             0.16505,            0.026418,            0.011451,            0.012026,            0.009703,            0.009703,            0.009703,             0.17146,              0.3362,            0.018554,             0.11673,             0.14295,             0.20439,              0.3761,             0.60802,            0.031094,             0.21278,             0.33796,             0.32528
                   5,            0.050998,            0.036309,            0.017338,             0.41998,             0.41521,             0.30723,             0.14831,            0.025614,            0.010741,           0.0062841,            0.009604,            0.009604,            0.009604,              0.1302,             0.32219,           0.0073823,               0.156,             0.19624,            0.077854,             0.37842,             0.55414,            0.013085,             0.32411,             0.40906,             0.16454
                   6,            0.049116,            0.033615,            0.015268,             0.53461,             0.54082,             0.45048,             0.19961,            0.024717,            0.012847,            0.005244,            0.009505,            0.009505,            0.009505,             0.31047,             0.41003,           0.0021611,             0.14117,             0.17958,             0.15422,             0.71286,             0.79411,            0.010815,             0.30373,             0.42942,             0.45195
                   7,            0.048168,            0.033948,            0.015281,             0.69216,             0.45523,             0.48017,             0.25515,            0.020455,            0.010017,           0.0061705,            0.009406,            0.009406,            0.009406,             0.24557,             0.39407,             0.01073,              0.3006,             0.25046,             0.32947,             0.50294,              0.7238,            0.027319,             0.56968,             0.46766,             0.58961
                   8,            0.044214,             0.03525,            0.012787,             0.70754,             0.54757,             0.57352,             0.29551,            0.017993,           0.0097089,            0.005397,            0.009307,            0.009307,            0.009307,             0.35284,              0.2928,            0.012583,             0.45723,             0.34442,             0.31319,             0.71349,             0.67719,            0.020156,             0.83406,             0.57166,             0.62455
                   9,            0.042856,            0.034518,            0.011785,              0.6406,             0.57062,             0.53813,             0.27547,            0.019399,            0.008678,           0.0041215,            0.009208,            0.009208,            0.009208,             0.32495,             0.37563,            0.019352,              0.2619,             0.34236,             0.32865,              0.7205,             0.70942,             0.02985,             0.53831,             0.58725,             0.64343
                  10,            0.040116,            0.035255,            0.012301,             0.71456,             0.52055,             0.55984,             0.30668,            0.017697,            0.009849,           0.0045718,            0.009109,            0.009109,            0.009109,              0.2872,             0.49764,            0.018235,             0.38506,             0.28899,             0.36295,             0.66105,             0.85274,            0.029621,             0.56418,             0.55577,             0.69566
                  11,            0.037805,            0.031197,            0.012498,             0.73953,             0.50804,             0.53811,             0.27539,            0.018887,           0.0084424,           0.0045853,             0.00901,             0.00901,             0.00901,             0.30479,              0.4705,            0.013447,              0.3374,             0.33578,             0.19045,             0.61811,             0.81542,            0.021788,             0.64225,             0.58718,             0.54391
