               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,  metrics/banana_mAP,metrics/egg carton_mAP,    metrics/eggs_mAP,    metrics/milk_mAP,metrics/tangerine_mAP, metrics/yoghurt_mAP,metrics/banana_mAP_50,metrics/egg carton_mAP_50, metrics/eggs_mAP_50, metrics/milk_mAP_50,metrics/tangerine_mAP_50,metrics/yoghurt_mAP_50
                   0,             0.10483,            0.055442,            0.052982,           0.0012236,             0.17073,           0.0011649,          0.00019329,             0.10554,            0.033599,            0.051794,              0.0928,              0.0008,              0.0008,          0.00046626,                   0,          0.00043752,          0.00025593,                   0,                   0,           0.0023104,                   0,           0.0025755,           0.0021036,                   0,                   0
                   1,            0.099015,            0.070015,            0.052468,          0.00035714,               0.125,          0.00032317,          9.1036e-05,            0.098503,            0.033964,            0.051423,            0.084666,           0.0016663,           0.0016663,                   0,                   0,                   0,                   0,          0.00054622,                   0,                   0,                   0,                   0,                   0,            0.001939,                   0
                   2,            0.094949,            0.063668,            0.052196,          0.00035714,               0.125,          0.00036617,          0.00010345,            0.091853,            0.034515,            0.051139,            0.076497,            0.002497,            0.002497,                   0,                   0,                   0,                   0,          0.00062073,                   0,                   0,                   0,                   0,                   0,            0.002197,                   0
                   3,            0.091722,            0.071884,            0.051464,          0.00038462,               0.125,          0.00040219,          0.00011184,            0.088002,            0.034816,            0.050773,            0.068292,           0.0032921,           0.0032921,                   0,                   0,                   0,                   0,          0.00067103,                   0,                   0,                   0,                   0,                   0,           0.0024131,                   0
                   4,            0.091686,            0.074855,            0.050961,          0.00041667,               0.125,          0.00050423,          0.00014893,            0.085232,            0.034892,            0.050387,            0.060052,           0.0040515,           0.0040515,                   0,                   0,                   0,                   0,          0.00089357,                   0,                   0,                   0,                   0,                   0,           0.0030254,                   0
                   5,            0.089148,            0.070414,            0.050234,          0.00045455,               0.125,          0.00052962,          0.00016225,            0.084101,            0.034848,            0.050023,            0.051775,           0.0047753,           0.0047753,                   0,                   0,                   0,                   0,          0.00097348,                   0,                   0,                   0,                   0,                   0,           0.0031777,                   0
                   6,            0.085883,            0.068793,            0.049784,          0.00038462,               0.125,          0.00045169,           0.0001331,            0.082228,            0.035013,            0.049696,            0.043463,           0.0054634,           0.0054634,                   0,                   0,                   0,                   0,          0.00079861,                   0,                   0,                   0,                   0,                   0,           0.0027101,                   0
                   7,            0.085564,            0.072822,            0.049087,           0.0003125,               0.125,          0.00033564,           9.602e-05,            0.080404,            0.035152,            0.049357,            0.035116,           0.0061159,           0.0061159,                   0,                   0,                   0,                   0,          0.00057612,                   0,                   0,                   0,                   0,                   0,           0.0020138,                   0
                   8,            0.085313,            0.072084,            0.048486,          0.00029412,               0.125,          0.00026472,          6.0624e-05,               0.079,            0.034968,            0.049086,            0.026733,           0.0067328,           0.0067328,                   0,                   0,                   0,                   0,          0.00036374,                   0,                   0,                   0,                   0,                   0,           0.0015883,                   0
                   9,            0.087574,            0.068694,            0.048218,          0.00033708,               0.125,          0.00051277,          0.00012385,            0.077732,            0.034812,            0.048852,            0.018314,            0.007314,            0.007314,                   0,                   0,                   0,                   0,           0.0007431,                   0,                   0,                   0,                   0,                   0,           0.0030766,                   0
                  10,            0.085691,            0.078015,            0.047532,          0.00061434,             0.11004,          0.00054234,          0.00011826,            0.077732,            0.033493,            0.048871,           0.0098596,           0.0078596,           0.0078596,                   0,                   0,          9.8212e-05,                   0,          0.00061134,                   0,                   0,                   0,          0.00098212,                   0,           0.0022719,                   0
                  11,            0.088451,             0.05956,            0.048511,          0.00018653,            0.055556,          0.00023593,          5.9047e-05,            0.076031,             0.03381,            0.048645,            0.007822,            0.007822,            0.007822,                   0,                   0,                   0,                   0,          0.00035428,                   0,                   0,                   0,                   0,                   0,           0.0014156,                   0
                  12,            0.084903,            0.070797,            0.047134,          0.00037031,            0.079248,           0.0025562,          0.00072371,            0.074643,            0.033822,            0.048381,            0.007822,            0.007822,            0.007822,                   0,                   0,                   0,                   0,          0.00072413,           0.0036181,                   0,                   0,                   0,                   0,            0.003974,            0.011364
                  13,            0.087155,            0.078469,            0.046114,             0.35008,            0.019608,           0.0073917,           0.0026136,            0.073585,            0.034549,            0.047883,            0.007624,            0.007624,            0.007624,                   0,                   0,                   0,          0.00012798,          0.00099099,            0.014562,                   0,                   0,                   0,           0.0012798,           0.0072644,            0.035806
                  14,            0.083433,            0.072442,            0.045818,             0.72063,           0.0098039,            0.012495,           0.0058296,            0.075874,            0.033228,            0.046194,            0.007426,            0.007426,            0.007426,                   0,                   0,                   0,          6.9464e-05,           0.0019625,            0.032946,                   0,                   0,                   0,          0.00069464,           0.0091509,            0.065125
                  15,            0.087739,            0.068107,            0.045748,             0.33549,             0.10882,           0.0019244,          0.00041145,            0.088146,            0.027339,            0.052225,            0.007228,            0.007228,            0.007228,                   0,                   0,                   0,          0.00029274,          0.00011953,           0.0020564,                   0,                   0,                   0,           0.0015477,          0.00062047,           0.0093781
                  16,            0.086456,            0.066369,            0.044765,           0.0013403,             0.15899,           0.0034342,          0.00072962,            0.093716,            0.024851,            0.058753,             0.00703,             0.00703,             0.00703,                   0,                   0,                   0,          0.00024158,          4.5164e-05,            0.004091,                   0,                   0,                   0,           0.0019534,          0.00045164,              0.0182
                  17,            0.085284,            0.066884,            0.043033,             0.67012,            0.019608,           0.0032101,          0.00089492,            0.085129,            0.028898,             0.05064,            0.006832,            0.006832,            0.006832,                   0,                   0,                   0,          0.00041072,          0.00043346,           0.0045253,                   0,                   0,                   0,           0.0019345,           0.0017285,            0.015598
                  18,            0.083685,            0.071162,            0.042041,           0.0018057,             0.12946,           0.0021839,          0.00049174,            0.078312,            0.033361,            0.042296,            0.006634,            0.006634,            0.006634,                   0,                   0,           0.0013713,                   0,          0.00060926,          0.00096987,                   0,                   0,           0.0047255,                   0,           0.0024548,            0.005923
                  19,            0.082388,            0.072476,            0.041368,             0.66994,            0.055556,           0.0069188,           0.0014858,            0.073555,            0.043224,            0.038299,            0.006436,            0.006436,            0.006436,                   0,                   0,           0.0012291,                   0,           0.0076859,                   0,                   0,                   0,           0.0040441,                   0,            0.037468,                   0
                  20,            0.082654,            0.076134,            0.039043,             0.66963,            0.069444,           0.0041312,          0.00098171,            0.072608,            0.046074,            0.037361,            0.006238,            0.006238,            0.006238,                   0,                   0,                   0,                   0,           0.0058902,                   0,                   0,                   0,                   0,                   0,            0.024787,                   0
                  21,            0.082992,            0.064904,            0.038551,             0.50091,            0.041667,           0.0027282,          0.00085348,            0.069095,            0.050489,            0.037132,             0.00604,             0.00604,             0.00604,                   0,                   0,                   0,                   0,           0.0051209,                   0,                   0,                   0,                   0,                   0,            0.016369,                   0
                  22,            0.083755,            0.059517,             0.03947,             0.66835,             0.11111,           0.0053218,           0.0011043,            0.069784,            0.050971,            0.037365,            0.005842,            0.005842,            0.005842,                   0,                   0,                   0,                   0,           0.0066259,                   0,                   0,                   0,                   0,                   0,            0.031931,                   0
                  23,            0.081163,            0.073281,            0.038837,             0.83503,            0.041667,           0.0051739,           0.0013588,            0.068463,            0.060366,            0.037164,            0.005644,            0.005644,            0.005644,                   0,                   0,                   0,           0.0033288,           0.0048239,                   0,                   0,                   0,                   0,            0.012314,            0.018729,                   0
                  24,            0.080653,            0.068399,            0.037619,             0.83564,             0.13889,            0.011555,           0.0037463,            0.066265,            0.055542,            0.036705,            0.005446,            0.005446,            0.005446,                   0,                   0,                   0,             0.01147,            0.011008,                   0,                   0,                   0,                   0,            0.026698,             0.04263,                   0
                  25,            0.080359,            0.072185,            0.036827,             0.68586,             0.14167,           0.0082356,           0.0029789,            0.065818,            0.055991,            0.037162,            0.005248,            0.005248,            0.005248,                   0,                   0,                   0,            0.010861,           0.0070128,                   0,                   0,                   0,                   0,            0.026613,              0.0228,                   0
                  26,             0.07939,            0.066455,            0.037712,             0.51659,             0.15556,            0.011995,           0.0028084,            0.067103,             0.05502,            0.036051,             0.00505,             0.00505,             0.00505,                   0,                   0,                   0,           0.0065989,           0.0094927,          0.00075874,                   0,                   0,                   0,             0.03011,            0.034275,           0.0075874
                  27,            0.080209,            0.068869,            0.037351,             0.35368,             0.14167,            0.032287,           0.0093209,            0.064944,            0.055675,            0.034991,            0.004852,            0.004852,            0.004852,                   0,                   0,                   0,            0.019114,             0.02833,           0.0084811,                   0,                   0,                   0,            0.041975,            0.092921,            0.058826
                  28,            0.081196,            0.062357,            0.034634,                0.51,            0.083333,            0.015431,           0.0035027,            0.066274,            0.052985,            0.035908,            0.004654,            0.004654,            0.004654,                   0,                   0,                   0,           0.0036658,            0.015129,           0.0022216,                   0,                   0,                   0,            0.016262,            0.070772,            0.005554
                  29,            0.077923,            0.069841,            0.034054,             0.52315,            0.036027,            0.020472,           0.0036246,            0.066476,            0.045339,            0.034787,            0.004456,            0.004456,            0.004456,                   0,                   0,                   0,           0.0038827,            0.016448,            0.001417,                   0,                   0,                   0,            0.012286,             0.10582,           0.0047234
                  30,            0.077043,            0.068879,            0.034999,           0.0034051,             0.18096,            0.006395,           0.0016043,            0.068529,            0.044294,            0.034841,            0.004258,            0.004258,            0.004258,           0.0010281,                   0,          0.00028779,           0.0030121,            0.003652,           0.0016457,           0.0051407,                   0,           0.0014389,            0.010035,            0.018464,           0.0032914
